Province	City	District	Area Code	CIty Code
Nusa Tenggara Barat	Kab. Lombok Barat	Kayangan	AMI20810	AMI
Jawa Tengah	Kab. Pati	Kayen	SRG20910	SRG
Jawa Timur	Kab. Kediri	Kayen Kidul	KDR10023	KDR
Maluku Utara	Kab. Halmahera Selatan	Kayoa	TTE20306	TTE
Jambi	Kab. Kerinci	Kayu Aro	DJB20407	DJB
Jawa Tengah	Kab. Karang Anyar	Kebakkramat	SOC20207	SOC
Papua Barat	Kab. Manokwari	Kebar	SOQ20611	SOQ
Jawa Tengah	Kab. Banyumas	Kebasen	SRG10409	SRG
Aceh	Kab. Aceh Tengah	Kebayakan	BTJ20513	BTJ
Dki Jakarta	Kota Administrasi Jakarta Selatan	Kebayoran Baru	CGK10202	CGK
Dki Jakarta	Kota Administrasi Jakarta Selatan	Kebayoran Lama	CGK10203	CGK
Jawa Timur	Kab.Gresik	Kebomas	SUB10117	SUB
Dki Jakarta	Kota Administrasi Jakarta Barat	Kebon Jeruk	CGK10103	CGK
Jawa Timur	Kab. Pacitan	Kebonagung	MDN20304	MDN
Jawa Tengah	Kab. Demak	Kebonagung	SRG20713	SRG
Jawa Tengah	Kab. Klaten	Kebonarum	SOC20313	SOC
Jawa Barat	Kab. Sukabumi	Kebonpedes	SMI10029	SMI
Jawa Timur	Kab. Madiun	Kebonsari	MDN10108	MDN
Jawa Tengah	Kab. Kebumen	Kebumen	MGL10100	MGL
Aceh	Kab. Aceh Barat	Kec. Kaway Xvi	BTJ20304	BTJ
Jawa Timur	Kab.Gresik	Kedamean	SUB10108	SUB
Kalimantan Barat	Kab. Kapuas Hulu	Kedamin	PNK20221	PNK
Lampung	Kota Bandar Lampung	Kedaton	TKG10032	TKG
Jawa Timur	Kab. Pasuruan	Kedawung	PDN10025	PDN
Jawa Tengah	Kab. Sragen	Kedawung	SOC20406	SOC
Jawa Barat	Kab. Cirebon	Kedawung	CBN20419	CBN
Jawa Tengah	Kab. Bojonegoro	Kedewan	SRG20424	SRG
Jawa Timur	Kota Kediri	Kediri	KDR10000	KDR
Nusa Tenggara Barat	Kab. Lombok Barat	Kediri	AMI20803	AMI
Bali	Kab. Tabanan	Kediri	DPS20702	DPS
Jawa Barat	Kab. Indramayu	Kedokan Bunder	CBN20124	CBN
Lampung	Kab. Pesawaran	Kedondong	TKG21401	TKG
Jawa Timur	Kota Probolinggo	Kedopok	PBL10029	PBL
Jawa Tengah	Kab. Temanggung	Kedu	MGL10406	MGL
Jawa Timur	Kab. Sampang	Kedundung	SUB20604	SUB
Jawa Tengah	Kab. Jepara	Kedung	SRG10105	SRG
Jawa Tengah	Kab. Bojonegoro	Kedungadem	SRG20409	SRG
Jawa Tengah	Kab. Banyumas	Kedungbanteng	SRG10410	SRG
Jawa Tengah	Kab. Tegal	Kedungbanteng	SRG21406	SRG
Jawa Timur	Kab. Ngawi	Kedunggalar	MDN20205	MDN
Jawa Timur	Kab. Lumajang	Kedungjajang	PBL20105	PBL
Jawa Tengah	Kab. Grobogan	Kedungjati	SRG21108	SRG
Jawa Timur	Kota Malang	Kedungkandang	MXG10036	MXG
Jawa Timur	Kab. Lamongan	Kedungpring	SUB10209	SUB
Jawa Tengah	Kab. Cilacap	Kedungrejo	CXP10010	CXP
Jawa Tengah	Kab. Blora	Kedungtuban	SRG20312	SRG
Jawa Barat	Kab. Bekasi	Kedungwaringin	BKI10110	BKI
Jawa Timur	Kab. Tulungagung	Kedungwaru	SUB21019	SUB
Jawa Tengah	Kab. Pekalongan	Kedungwuni	SRG22207	SRG
Bengkulu	Kab. Bengkulu Selatan	Kedurang	BKS20308	BKS
Sulawesi Selatan	Kab. Wajo	Keera	UPG21412	UPG
Nusa Tenggara Timur	Kab. Timor Tengah Utara	Kefamenanu	KOE20300	KOE
Maluku	Kab. Maluku Tenggara	Kei Besar	AMQ20201	AMQ
Maluku	Kab. Maluku Tenggara	Kei Besar Selatan	AMQ20208	AMQ
Maluku	Kab. Maluku Tenggara	Kei Besar Utara Timur	AMQ20209	AMQ
Maluku	Kab. Maluku Tenggara	Kei Kecil	AMQ20210	AMQ
Jawa Tengah	Kab. Wonosobo	Kejajar	MGL10204	MGL
